HUC_12,pCanopy
010200040106,74.0613654262
010200040107,73.4958856595
010200040108,73.1175512666
010200040109,75.9427990406
010200040110,72.3643483478
010200040111,73.8402217929
010200040201,72.208705589
010200040202,69.4715251722
010200040203,68.8786122588
010200040204,69.7974631545
010200040205,66.8486545217
010200040301,77.43989037
010200040302,74.0043356313
010200040303,76.5129488736
010200040304,75.1211319473
010200040305,75.0697609001
010200040306,75.4098796127
010200040307,74.4621638571
010200040308,67.6441107421
010200040309,74.2010390927
010200040310,69.3306461055
010200040311,75.364396226
010200040312,69.7736742291
010200040401,79.1380526668
010200040402,79.5214365551
010200040403,73.1230937957
010200040404,74.8427082052
010200040405,73.6870162633
010200040406,79.2810277383
010200040407,78.0287016602
010200040408,73.057332568
010200040409,75.5726351537
010200040410,70.8377236286
010200040501,75.357411952
010200040502,76.9482255002
010200040503,76.5397848412
010200040504,72.087163705
010200040601,73.388195302
010200040602,75.7813660845
010200040603,73.5017886421
010200040604,73.7528473728
010200050101,68.2332859756
010200050102,74.1057785133
010200050103,74.6358746868
010200050104,71.8853560372
010200050201,69.9308466904
010200050202,71.6076954583
010200050203,73.3191673765
010200050204,72.6060183821
010200050205,71.5980777009
010200050206,77.87349506
010200050207,73.9118156719
010200050208,67.4080479548
010200050301,75.0796092836
010200050302,78.590209254
010200050303,72.6473314959
010200050304,77.3901639344
010200050305,76.1253151015
010200050306,74.300979811
010200050307,74.0527249391
010200050308,75.0206542576
010200050309,72.9930889873
010200050310,72.7607104867
010200050311,70.6613339758
010200050401,70.9586787303
010200050402,73.3710395493
010200050403,70.507991999
010200050404,73.1867922654
010200050405,70.4078231572
010200050406,72.7075644479
010200050407,68.8776197122
010200050408,67.5600772709
010200050501,69.9520675937
010200050502,63.5758841444
010200050503,70.4138338942
010200050504,72.6706089922
010200050505,64.1224815826
010200050506,64.575
010200050507,69.4312354312
010200050508,72.3272885683
010200050509,68.9755564083
010200050510,59.7809220891
010200050601,74.0544764843
010200050602,71.4849777566
010200050603,60.5038246387
010200050701,60.9580053532
010200050702,62.4423470045
010200050703,65.031448698
010200050704,62.5370458955
010200050705,55.6265088291
010200050706,59.5686880462
010200050707,52.3559962534
010200050801,68.1506341319
010200050802,70.3115207373
010200050803,67.5722946537
010200050804,64.1572886725
010200050805,51.6444221401
010200050901,69.0038978076
010200050902,69.8271170443
010200050903,67.035551628
010200050904,63.7187415028
010200050905,69.5210688592
010200050906,62.300915493
010200051001,63.0329215775
010200051002,66.1834915157
010200051003,42.6356629133
010200051004,72.0838109877
010200051005,70.8894179634
010200051006,71.7765256905
010200051007,63.1278940363
010200051008,65.6255544925
010200051009,67.6535140321
010300010101,73.6399157698
010300010102,74.436099951
010300010201,73.4240715774
010300010202,73.2973907278
010300010203,75.311901731
010300010204,73.986864359
010300010205,75.0092676165
010300010206,71.5883091301
010300010301,73.9074820342
010300010302,76.4086034666
010300010303,76.0880836862
010300010304,72.612525034
010300010305,73.1242999635
010300010306,71.5341126831
010300010307,73.0799841243
010300010308,72.9106662474
010300010309,68.3473130584
010300010310,73.4758076199
010300010401,74.6532373095
010300010402,74.3290425886
010300010403,69.8936845591
010300010404,73.5856053512
010300010501,75.2297138561
010300010502,75.1182046558
010300010503,71.7760684775
010300010504,77.4116646624
010300010505,73.354781947
010300010506,75.3881628023
010300010507,71.4929903617
010300010508,75.2754939991
010300010509,76.6632346507
010300010510,74.1903621149
010300010601,69.4835259196
